ID,Symbol,Name
235,HD,Home Depot (The)
236,HON,Honeywell
237,HRL,Hormel Foods
238,HST,Host Hotels & Resorts
239,HWM,Howmet Aerospace
240,HPQ,HP Inc.
241,HUBB,Hubbell Incorporated
242,HUM,Humana
243,HBAN,Huntington Bancshares
244,HII,Huntington Ingalls Industries
245,IBM,IBM
246,IEX,IDEX Corporation
247,IDXX,Idexx Laboratories
248,ITW,Illinois Tool Works
249,INCY,Incyte
250,IR,Ingersoll Rand
251,PODD,Insulet Corporation
252,INTC,Intel
253,ICE,Intercontinental Exchange
254,IFF,International Flavors & Fragrances
255,IP,International Paper
256,IPG,Interpublic Group of Companies (The)
257,INTU,Intuit
258,ISRG,Intuitive Surgical
259,IVZ,Invesco
260,INVH,Invitation Homes
261,IQV,IQVIA
262,IRM,Iron Mountain
263,JBHT,J.B. Hunt
264,JBL,Jabil
265,JKHY,Jack Henry & Associates
266,J,Jacobs Solutions
267,JNJ,Johnson & Johnson
268,JCI,Johnson Controls
269,JPM,JPMorgan Chase
270,JNPR,Juniper Networks
271,K,Kellanova
272,KVUE,Kenvue
273,KDP,Keurig Dr Pepper
274,KEY,KeyCorp
275,KEYS,Keysight Technologies
276,KMB,Kimberly-Clark
277,KIM,Kimco Realty
278,KMI,Kinder Morgan
279,KKR,KKR
280,KLAC,KLA Corporation
281,KHC,Kraft Heinz
282,KR,Kroger
283,LHX,L3Harris
284,LH,LabCorp
285,LRCX,Lam Research
286,LW,Lamb Weston
287,LVS,Las Vegas Sands
288,LDOS,Leidos
289,LEN,Lennar
290,LLY,Lilly (Eli)
291,LIN,Linde plc
292,LYV,Live Nation Entertainment
293,LKQ,LKQ Corporation
294,LMT,Lockheed Martin
295,L,Loews Corporation
296,LOW,Lowe's
297,LULU,Lululemon Athletica
298,LYB,LyondellBasell
299,MTB,M&T Bank
300,MRO,Marathon Oil
301,MPC,Marathon Petroleum
302,MKTX,MarketAxess
303,MAR,Marriott International
304,MMC,Marsh McLennan
305,MLM,Martin Marietta Materials
306,MAS,Masco
307,MA,Mastercard
308,MTCH,Match Group
309,MKC,McCormick & Company
310,MCD,McDonald's
311,MCK,McKesson Corporation
312,MDT,Medtronic
313,MRK,Merck & Co.
314,META,Meta Platforms
315,MET,MetLife
316,MTD,Mettler Toledo
317,MGM,MGM Resorts
318,MCHP,Microchip Technology
319,MU,Micron Technology
320,MSFT,Microsoft
321,MAA,Mid-America Apartment Communities
322,MRNA,Moderna
323,MHK,Mohawk Industries
324,MOH,Molina Healthcare
325,TAP,Molson Coors Beverage Company
326,MDLZ,Mondelez International
327,MPWR,Monolithic Power Systems
328,MNST,Monster Beverage
329,MCO,Moody's Corporation
330,MS,Morgan Stanley
331,MOS,Mosaic Company (The)
332,MSI,Motorola Solutions
333,MSCI,MSCI
334,NDAQ,"Nasdaq, Inc."
335,NTAP,NetApp
336,NFLX,Netflix
337,NEM,Newmont
338,NWSA,News Corp (Class A)
339,NWS,News Corp (Class B)
340,NEE,NextEra Energy
341,NKE,"Nike, Inc."
342,NI,NiSource
343,NDSN,Nordson Corporation
344,NSC,Norfolk Southern Railway
345,NTRS,Northern Trust
346,NOC,Northrop Grumman
347,NCLH,Norwegian Cruise Line Holdings
348,NRG,NRG Energy
349,NUE,Nucor
350,NVDA,Nvidia
351,NVR,"NVR, Inc."
352,NXPI,NXP Semiconductors
353,ORLY,O'Reilly Auto Parts
354,OXY,Occidental Petroleum
355,ODFL,Old Dominion
356,OMC,Omnicom Group
357,ON,ON Semiconductor
358,OKE,ONEOK
359,ORCL,Oracle Corporation
360,OTIS,Otis Worldwide
361,PCAR,Paccar
362,PKG,Packaging Corporation of America
363,PLTR,Palantir Technologies
364,PANW,Palo Alto Networks
365,PARA,Paramount Global
366,PH,Parker Hannifin
367,PAYX,Paychex
368,PAYC,Paycom
369,PYPL,PayPal
370,PNR,Pentair
371,PEP,PepsiCo
372,PFE,Pfizer
373,PCG,PG&E Corporation
374,PM,Philip Morris International
375,PSX,Phillips 66
376,PNW,Pinnacle West
377,PNC,PNC Financial Services
378,POOL,Pool Corporation
379,PPG,PPG Industries
380,PPL,PPL Corporation
381,PFG,Principal Financial Group
382,PG,Procter & Gamble
383,PGR,Progressive Corporation
384,PLD,Prologis
385,PRU,Prudential Financial
386,PEG,Public Service Enterprise Group
387,PTC,PTC Inc.
388,PSA,Public Storage
389,PHM,PulteGroup
390,QRVO,Qorvo
391,PWR,Quanta Services
392,QCOM,Qualcomm
393,DGX,Quest Diagnostics
394,RL,Ralph Lauren Corporation
395,RJF,Raymond James Financial
396,RTX,RTX Corporation
397,O,Realty Income
398,REG,Regency Centers
399,REGN,Regeneron Pharmaceuticals
400,RF,Regions Financial Corporation
401,RSG,Republic Services
402,RMD,ResMed
403,RVTY,Revvity
404,ROK,Rockwell Automation
405,ROL,"Rollins, Inc."
406,ROP,Roper Technologies
407,ROST,Ross Stores
408,RCL,Royal Caribbean Group
409,SPGI,S&P Global
410,CRM,Salesforce
411,SBAC,SBA Communications
412,SLB,Schlumberger
413,STX,Seagate Technology
414,SRE,Sempra
415,NOW,ServiceNow
416,SHW,Sherwin-Williams
417,SPG,Simon Property Group
418,SWKS,Skyworks Solutions
419,SJM,J.M. Smucker Company (The)
420,SW,Smurfit WestRock
421,SNA,Snap-on
422,SOLV,Solventum
423,SO,Southern Company
424,LUV,Southwest Airlines
425,SWK,Stanley Black & Decker
426,SBUX,Starbucks
427,STT,State Street Corporation
428,STLD,Steel Dynamics
429,STE,Steris
430,SYK,Stryker Corporation
431,SMCI,Supermicro
432,SYF,Synchrony Financial
433,SNPS,Synopsys
434,SYY,Sysco
435,TMUS,T-Mobile US
436,TROW,T. Rowe Price
437,TTWO,Take-Two Interactive
438,TPR,"Tapestry, Inc."
439,TRGP,Targa Resources
440,TGT,Target Corporation
441,TEL,TE Connectivity
442,TDY,Teledyne Technologies
443,TFX,Teleflex
444,TER,Teradyne
445,TSLA,"Tesla, Inc."
446,TXN,Texas Instruments
447,TXT,Textron
448,TMO,Thermo Fisher Scientific
449,TJX,TJX Companies
450,TSCO,Tractor Supply
451,TT,Trane Technologies
452,TDG,TransDigm Group
453,TRV,Travelers Companies (The)
454,TRMB,Trimble Inc.
455,TFC,Truist Financial
456,TYL,Tyler Technologies
457,TSN,Tyson Foods
458,USB,U.S. Bancorp
459,UBER,Uber
460,UDR,"UDR, Inc."
461,ULTA,Ulta Beauty
462,UNP,Union Pacific Corporation
463,UAL,United Airlines Holdings
464,UPS,United Parcel Service
465,URI,United Rentals
466,UNH,UnitedHealth Group
467,UHS,Universal Health Services
468,VLO,Valero Energy
469,VTR,Ventas
470,VLTO,Veralto
471,VRSN,Verisign
472,VRSK,Verisk Analytics
473,VZ,Verizon
474,VRTX,Vertex Pharmaceuticals
475,VTRS,Viatris
476,VICI,Vici Properties
477,V,Visa Inc.
478,VST,Vistra Corp.
479,VMC,Vulcan Materials Company
480,WRB,W. R. Berkley Corporation
481,GWW,W. W. Grainger
482,WAB,Wabtec
483,WBA,Walgreens Boots Alliance
484,WMT,Walmart
485,DIS,Walt Disney Company (The)
486,WBD,Warner Bros. Discovery
487,WM,Waste Management
488,WAT,Waters Corporation
489,WEC,WEC Energy Group
490,WFC,Wells Fargo
491,WELL,Welltower
492,WST,West Pharmaceutical Services
493,WDC,Western Digital
494,WY,Weyerhaeuser
495,WMB,Williams Companies
496,WTW,Willis Towers Watson
497,WYNN,Wynn Resorts
498,XEL,Xcel Energy
499,XYL,Xylem Inc.
500,YUM,Yum! Brands
501,ZBRA,Zebra Technologies
502,ZBH,Zimmer Biomet
503,ZTS,Zoetis
